Country,Network,Price,MCC/MNC
Belarus,"JLLC Mobile TeleSystems (MTS)",0.01300,257/02
Belgium,"Belgacom SA/NV (PROXIMUS)",0.09000,206/01
Belgium,"Belgium - Other",0.0900,
Belgium,"KPN Group Belgium NV/SA (KPN Group Belgium)",0.09000,"206/20, 206/40"
Belgium,"Lycamobile (Lycamobile)",0.10000,206/06
Belgium,"Mobistar S.A. (Mobistar)",0.09000,206/10
Belgium,"Mundio Mobile Belgium nv (Mundio)",0.0900,206/07
Belgium,"National Railway Belgium (N.M.B.S.)",0.0900,206/02
Belgium,"Telenet (Telenet )",0.09000,206/05
Belize,"Belize Telemedia Limited (Belize Telecommunications)",0.01300,702/67
Belize,"Speednet (Speednet)",0.01300,702/69
Benin,"Bell Benin Communications (BBCOM)",0.04000,"616/04, 616/00"
Benin,"Etisalat Benin SA (Moov Telecel)",0.05000,616/02
Benin,"Glomobile Benin Limited (GloBenin)",0.02500,616/05
Benin,"Office des Postes et Telecommunications du Benin (LIBERCOM)",0.02500,616/01
Benin,"Spacetel-Benin (MTN)",0.04000,616/03
Bermuda,"Bermuda Digital Communications Limited (CELLONE)",0.02000,"350/000, 350/03"
Bermuda,"Telecommunications (Bermuda & West Indies) Ltd (Digicel Bermuda)",0.04500,"350/10, 350/01"
Bhutan,"B-Mobile (B-Mobile)",0.04800,"402/11, 402/17"
Bhutan,"Tashi InfoComm Limited (TashiCell)",0.06000,402/77
Bolivia,"Entel SA (Entel)",0.04000,736/02
Bolivia,"Nuevatel PCS De Bolivia SA (Nuevatel PCS De Bolivia)",0.06500,736/01
"Bosnia Herzegovina","BH Telecom, Joint Stock Company, Sarajevo (BH Mobile)",0.06200,218/90
"Bosnia Herzegovina","Public Enterprise Croatian Telecom Ltd. (ERONET)",0.05750,218/03
"Bosnia Herzegovina","RS Telecommunications  JSC Banja Luka (m:tel)",0.03800,218/05
Botswana,"Botswana Telecommunications Corporation (beMOBILE)",0.02500,652/04
Botswana,"Mascom Wireless (Pty) Limited (MASCOM)",0.06000,652/01
Botswana,"Orange (Botswana) Pty Limited (ORANGE)",0.05300,652/02
Brazil,"Algar Telecom (CTBC Celular)",0.0200,"724/32, 724/33, 724/34"
Brazil,"Amazonia Celular S/A (Amazonia Celular Now TNL Oi)",0.0200,724/24
Brazil,"Brazil - Other",0.0200,
Brazil,"CLARO S.A (Claro)",0.0200,724/05
Brazil,"Nextel Services De Telecommunication LTD (Nextel)",0.0200,"724/00, 724/39"
Brazil,"Oi Grupo (TNL PCS S.A. Oi)",0.0200,"724/16, 724/30, 724/31"
Brazil,"Sercomtel Celular S/A (Sercomtel)",0.0200,"724/15, 724/055"
Brazil,"TIM Celular S.A. (TIM BRASIL)",0.0200,"724/02, 724/03, 724/04"
Brazil,"VIVO MG (Telemig)",0.0200,724/23
Brazil,"Vivo S.A. (Vivo)",0.0200,"724/06, 724/10, 724/11"
"British Virgin Islands","Cable and Wireless (BVI) Ltd (LIME)",0.01000,348/170
"British Virgin Islands","Caribbean Cellular Telephone (CCT)",0.01000,348/570
"British Virgin Islands","Digicel BVI Limited (Digicel)",0.03300,348/770
"Brunei Darussalam","B-Mobile Communications Sdn Bhd (b-mobile)",0.01300,528/02
"Brunei Darussalam","Brunei Darussalam - Other",0.0100,
"Brunei Darussalam","DataStream Technology (DTSCom)",0.01300,528/11
"Brunei Darussalam","INACTIVE - Jabatan Telekom (Jabatan Telekom)",0.0100,528/01
Bulgaria,"Bulgarian Telecommunications Company AD  (Vivacom)",0.06400,"284/03, 284/06"
Bulgaria,"Cosmo Bulgaria Mobile EAD (GLOBUL)",0.09000,284/05
Bulgaria,"Mobiltel EAD (M-Tel BG)",0.06400,"284/01, 284/001, 284/00"
"Burkina Faso","Airtel Burkina Faso S.A. (Airtel)",0.01300,613/02
"Burkina Faso","Burkina Faso - Other",0.0450,
"Burkina Faso","ONATEL-S.A (Onatel)",0.01300,613/01
"Burkina Faso","Telecel Faso SA (Telecel Faso)",0.01300,613/03
Burundi,"Lacell SU (Smart Mobile)",0.01000,642/07
Burundi,"U-COM Burundi S.A. (U-COM Econet Burundi)",0.04000,"642/82, 642/01"
Cambodia,"CamGSM (MOBITEL)",0.04100,"456/01, 456/18"
Cambodia,"Cambodia - Other",0.0800,
Cambodia,"Cambodia Advance Communications Co. Ltd (CADCOMMS)",0.01300,456/04
Cambodia,"Camtel AMPS (Camtel)",0.0800,456/14
Cambodia,"Latelz Co., Ltd (Smart Mobile)",0.04200,"456/06, 456/05"
Cambodia,"Samart (Samart)",0.04200,456/02
Cambodia,"Sotelco Ltd. (Beeline-KH)",0.01300,456/09
Cambodia,"VIETTEL (CAMBODIA) PTE., LTD (Metfone)",0.03000,456/08
Cameroon,"MTN Cameroon Ltd (MTN Cameroon)",0.04000,624/01
Cameroon,"Orange Cameroun S.A. (Orange)",0.04000,624/02
Cameroon,"Viettel SA (Nexttel Cameroon)",0.05000,624/04
"Cape Verde","CVMovel, S.A. (CVMOVEL)",0.06200,625/01
"Cape Verde","UNITEL T+ TELECOMUNICACÃES S.A. (UNITEL T+ )",0.03000,625/02
"Cayman Islands","Cable & Wireless (Cayman Islands) Ltd (LIME)",0.02100,346/140
"Cayman Islands","Digicel Cayman Ltd (Digicel)",0.03700,346/06
"Central African Republic","Atlantique Telecom Centrafrique SA (ETISALAT)",0.01300,623/01
"Central African Republic","Orange Centrafrique (Orange)",0.01300,623/03
"Central African Republic","TELECEL CENTRAFRIQUE (TELECEL CENTRAFRIQUE)",0.01300,623/02
Chad,"CelTel Tchad SA (Airtel Chad)",0.02000,622/01
Chad,"MILLICOM TCHAD (Millicom Tchad)",0.02500,"622/03, 622/02"
Chile,"Chile - Other",0.0360,
Chile,"Claro Chile S.A. (Claro)",0.04800,730/03
Chile,"ENTEL PCS Telecomunicaciones S.A. (ENTEL PCS)",0.03000,730/10
Chile,"ENTEL TELEFONIA MOVIL (ENTEL TELEFONIA MOVIL)",0.05000,730/01
Chile,"Nextel (Nextel)",0.04800,"730/09, 730/04"
Chile,"Telefonica Movil de Chile (TELEFONICA)",0.05900,"730/02, 730/07"
Chile,"VTR MOVIL S.A. (VTR)",0.03600,730/08
China,"China Mobile (CHINA MOBILE)",0.02600,"460/00, 460/02, 460/07"
China,"China Telecommunications Corporation (China Telecom CDMA)",0.02600,"460/03, 460/05, 460/90"
China,"China Unicom (CHINA UNICOM GSM)",0.02600,"460/01, 460/06"
Colombia,"Avantel (Avantel)",0.01100,732/130
Colombia,"Colombia Movil SA (Tigo)",0.01100,"732/111, 732/103"
Colombia,"Communication Celular SA Comcel SA (Claro)",0.01100,732/101
Colombia,"Telefonica Moviles Colombia S.A. (movistar)",0.01100,"732/123, 732/102"
Comoros,"Societe Nationale des Telecommunications (Comores Telecom) (HURI)",0.01400,654/01
Congo,"CelTel Congo SA (Airtel)",0.02100,629/01
Congo,"MTN Congo S.A (Libertis Telecom)",0.04200,629/10
"Congo (Dem. Rep.)","Celtel Congo (CelTel Congo SA)",0.01300,630/02
"Congo (Dem. Rep.)","Congo Chine Telecom (Congo Chine Telecom)",0.04000,630/86
"Congo (Dem. Rep.)","TIGO (Tigo)",0.04000,630/89
"Congo (Dem. Rep.)","Vodacom Congo (RDC) sprl (VODACOM CONGO)",0.02900,630/01
"Cook Islands","Telecom Cook Islands (Telecom Cook Islands)",0.01300,548/01
"Costa Rica","Claro CR Telecomunicaciones, S.A. (Claro CR)",0.01300,712/03
"Costa Rica","I.C.E. (Instituto Costarricense de Electricidad) (I.C.E.)",0.02000,"712/01, 712/02, 712/20"
"Costa Rica","TelefÃ³nica de Costa Rica TC, S.A.Â  (Movistar)",0.02400,712/04
Croatia,"Croatia - Other",0.0330,
Croatia,"Croatian Telecom Inc (T-Mobile HR)",0.05300,219/01
Croatia,"Tele2 d.o.o za telekomunikacijske uluge (Tele2)",0.03300,219/02
Croatia,"VIPnet d.o.o. (VIP-NET)",0.05300,219/10
Cuba,"Empresa de Telecommunicaciones de Cuba, SA (ETECSA)",0.08200,368/01
Cyprus,"Cyprus Telecommunications Auth (Cytamobile-Vodafone)",0.05500,280/01
Cyprus,"MTN Cyprus Limited  (MTN)",0.05500,280/10
Cyprus,"PrimeTel (PrimeTel)",0.05500,280/20
"Czech Republic","Czech Republic - Other",0.0530,
"Czech Republic","T-Mobile Czech Republic a.s. (T-Mobile CZ)",0.05300,"230/01, 230/09"
"Czech Republic","TelefÃ³nica O2 Czech Republic a.s. (O2 - CZ)",0.05300,230/02
"Czech Republic","Ufon CZ  (Air Telecom)",0.0530,230/04
"Czech Republic","Vodafone Czech Republic a.s. (Vodafone)",0.05300,230/03
Denmark,"Denmark - Other",0.0300,
Denmark,"Hi3G Denmark ApS (3 DK)",0.03000,238/06
Denmark,"TDC A/S (TDC Mobil)",0.03000,"238/01, 238/12"
Denmark,"Telenor A/S (Telenor)",0.03000,"238/02, 238/77, 238/28"
Denmark,"Telia Nattjanster Norden AB (Telia DK)",0.03000,"238/20, 238/66, 238/30"
"Diego Garcia","Cable & Wireless (Diego Garcia) Ltd (FonePlus)",0.09500,
Djibouti,"Djibouti Telecom SA (Evatis)",0.05500,638/01
Dominica,"Cable & Wireless Dominica Ltd. (LIME)",0.01600,366/110
Dominica,"Orange (Orange)",0.01300,366/01
Dominica,"Wireless Ventures (Dominica) Ltd. (Digicel Dominica)",0.03700,366/20
"Dominican Republic","CompaÃ±ia Dominicana de Telefonos, S.A. (Claro GSM)",0.07000,370/02
"Dominican Republic","Orange Dominicana S.A. (ORANGE)",0.04200,370/01
"Dominican Republic","Tricom (Nortel)",0.02600,370/03
"Dominican Republic","Trilogy Dominicana S.A. ((Viva))",0.03000,370/04
Ecuador,"Conecel S.A. (Consorcio Ecuatoriano de Telecomunicaciones) (Claro Ecuador)",0.04000,740/01
Ecuador,"Corporacion Nacional de Telecomunicaciones CNT E.P.  (ALEGRO)",0.04000,740/02
Ecuador,"OTECEL S.A. (MOVISTAR)",0.08500,740/00
Egypt,"ECMS-Mobinil (Mobinil)",0.04900,602/01
Egypt,"Egypt - Other",0.0490,
Egypt,"Etisalat Misr (Etisalat)",0.04900,602/03
Egypt,"Vodafone Egypt Telecommunications S.A.E (vodafone)",0.04900,602/02
"El Salvador","CTE Telecom Personal SA de CV (CLARO SLV)",0.02600,706/01
"El Salvador","DIGICEL S.A. de C.V. (Digicel)",0.03400,706/02
"El Salvador","Telefonica Moviles El Salvador S.A de c.v (Telefonica)",0.03000,706/04
"El Salvador","Telemovil EL Salvador S.A (TIGO)",0.01300,706/03
"Equatorial Guinea","GETESA (Orange GQ)",0.00600,627/01
"Equatorial Guinea","HiTs EG.SA (HiTs EG.SA)",0.04000,627/03
Estonia,"AS EMT (EMT GSM)",0.05300,248/01
Estonia,"Elisa Eesti AS (Elisa Eesti)",0.05300,248/02
Estonia,"Estonia - Other",0.0530,
Estonia,"Tele2 Eesti AS (Tele2)",0.05300,248/03
Ethiopia,"Ethio-Telecom (ETMTN)",0.01300,636/01
"Falkland Islands (Malvinas)","Cable & Wireless Plc (Cable & Wireless )",0.05400,"750/01, 750/001, 750/00"
"Faroe Islands","Faroese Telecom (Faroese Telecom GSM)",0.01000,288/01
"Faroe Islands","Kall P/F (VODAFONE FO)",0.01300,288/02
Fiji,"Digicel (Fiji) Limited (Digicel)",0.03000,542/02
Finland,"Alands Mobiltelefon Ab (Alands Mobiltelefon AB)",0.06000,244/14
Finland,"DNA Finland Ltd (FINNET)",0.06000,"244/03, 244/12, 244/30, 244/10"
Finland,"Elisa Corporation (Elisa Corporation)",0.06000,"244/05, 244/21"
Finland,"Finland - Other",0.0600,
Finland,"TeliaSonera Finland Oyj (SONERA)",0.06000,244/91
France,"Bouygues Telecom (BOUYGUES TELECOM)",0.05600,"208/20, 208/21, 208/88"
France,"Local Exchange Global Operation Services (LEGOS)",0.05600,208/17
France,"Lycamobile Sarl (Lycamobile)",0.05600,208/25
France,"NRJ FR (NRJ Mobile)",0.07600,208/26
France,"Omea Telecom (Omea Telecom)",0.05600,"208/23, 208/89"
France,"Orange France (Orange F)",0.05600,"208/00, 208/01, 208/02, 208/91"
France,"SFR (SFR)",0.07600,"208/04, 208/08, 208/09, 208/10, 208/27"
France,"Transatel Mobile France (Transatel)",0.05600,208/22
France,"Vectone Mobile France (Mundio Mobile)",0.05600,208/31
"French Guiana","DIGICEL Antilles FranÃ§aise Guyane (DIGICEL F - Martinique, Guadeloupe, French Guyana))",0.07200,340/20
"French Guiana","Orange Caraibe (ORANGE)",0.09500,340/01
"French Guiana","Outremer Telecom (Outremer)",0.01600,340/02
"French Polynesia","French Polynesia - Other",0.0500,
"French Polynesia","Tikiphone SA (VINI)",0.05000,547/20
"French West Indies/Martinique","DIGICEL Antilles FranÃ§aise Guyane (DIGICEL F - Martinique, Guadeloupe, French Guyana))",0.07200,340/20
"French West Indies/Martinique","Orange Caraibe (Orange)",0.07000,340/01
"French West Indies/Martinique","Outremer Telecom (Outremer)",0.09000,340/02
Gabon,"Atlantique Telecom Gabon S.A. (ETISALAT)",0.01300,628/02
Gabon,"Celtel Gabon SA (Airtel)",0.02500,628/03
Gabon,"Libertis S.A. (LIBERTIS)",0.04300,628/01
Gabon,"USAN-Gabon (Azur Gabon)",0.04000,628/04
Gambia,"Africell (Gambia) Ltd (AFRICELL)",0.01300,607/02
Gambia,"Comium Gambia Ltd (Comium Gambia)",0.01300,607/03
Gambia,"Gambia - Other",0.0800,
Gambia,"Gambia Telecommunications Cellular Company Ltd (GAMCELL)",0.01800,607/01
Gambia,"QCELL Limited (Qcell)",0.01300,607/04
Georgia,"Geocell Ltd (GEOCELL)",0.08200,282/01
Georgia,"INACTIVE - Iberiatel (Iberiatel)",0.07500,
Georgia,"Magticom Ltd (MAGTI GSM)",0.01300,"282/02, 282/03"
Georgia,"Mobitel LLC (Mobitel)",0.01600,282/04
Georgia,"Silknet JSC (Silknet)",0.01300,282/05
Germany,"E-Plus Mobilfunk (E-Plus)",0.06300,"262/03, 262/16, 262/77, 262/05"
Germany,"Germany - Other",0.0630,
Germany,"Sipgate Wireless Gmbh (Sipgate)",0.0630,262/12
Germany,"T-Mobile Deutschland GmbH (D1)",0.06300,"262/01, 262/06"
Germany,"Telefonica Germany GmbH & Co.OHG (O2 (Germany))",0.06300,"262/07, 262/08, 262/11"
Germany,"Truphone Limited (Truphone)",0.0630,262/99
Germany,"Vodafone D2 GmbH (Vodafone)",0.06300,"262/02, 262/43, 262/04, 262/09, 262/10"
Ghana,"Airtel Ghana Ltd (Airtel)",0.01300,620/06
Ghana,"Ghana Telecommunications Company Ltd (Vodafone Ghana)",0.04000,620/02
Ghana,"Glo Mobile Ghana Limited (Glo Ghana)",0.01300,620/07
Ghana,"Kasapa  Telecom Ltd (Expresso)",0.02400,620/04
Ghana,"Millicom Ghana Limited (tiGO)",0.01900,620/03
Ghana,"Scancom Ltd (MTN)",0.01800,620/01
Gibraltar,"Gibraltar - Other",0.0100,
Gibraltar,"Gibtelecom Limited (GIBTEL)",0.01300,266/01
Greece,"COSMOTE - Mobile Telecommunications S.A. (COSMOTE)",0.04200,"202/01, 202/02"
Greece,"Greece - Other",0.0420,
Greece,"Vodafone-Panafon (vodafone)",0.04200,"202/05, 202/14"
Greece,"Wind Hellas Telecommunications S.A. (WIND)",0.04200,"202/10, 202/09"
Greenland,"TELE Greenland  A/S (TELE Greenland)",0.01300,290/01
Grenada,"Cable & Wireless Grenada Ltd. (LIME)",0.01600,352/110
Grenada,"Digicel Grenada Ltd. (Digicel)",0.04000,352/30
Grenada,"Grenada Wireless Holdings Ltd (AWS)",0.01000,
"Guadeloupe [France]","DIGICEL Antilles FranÃ§aise Guyane (DIGICEL F - Martinique, Guadeloupe, French Guyana)",0.04000,340/20
"Guadeloupe [France]","Dauphin Telecom (MIO)",0.07200,340/08
"Guadeloupe [France]","Orange Caraibe (Orange)",0.09500,340/01
"Guadeloupe [France]","Outremer Telecom (Outremer)",0.01500,340/02
"Guadeloupe [France]","United Telecommunications Services Caraibe SARL (Tel Cell)",0.01300,"340/10, 340/03"
Guam,"DOCOMO PACIFIC, INC. (DOCOMO)",0.02000,"310/370, 310/470"
Guam,"IT&E Overseas, Inc (IT&E Wireless)",0.04900,310/032
Guam,"Pulse Mobile LLC (GTA Mpulse)",0.05500,310/140
Guatemala,"COMCEL-Communicaciones Celulares Sociedad Anonima (COMCEL GUATEMALA)",0.02200,704/02
Guatemala,"Telecomunicaciones De Guatemala, S.A. (TELGUA) (Claro)",0.03500,704/01
Guatemala,"Telefonica Moviles Guatamala SA (Telefonica)",0.03200,704/03
Guinea,"Areeba Guinea (MTN)",0.05100,611/04
Guinea,"Cellcom Guinee S.A. (Cellcom Guinee)",0.03800,611/05
Guinea,"INTERCEL GuinÃ©e (Telecel Guinee)",0.01000,611/03
Guinea,"Orange Guinee SA (Orange Guinee)",0.08800,611/01
"Guinea Bissau","Orange-Bissau (Orange)",0.07000,632/03
"Guinea Bissau","Spacetel Guinee-Bissau SA (MTN)",0.07000,632/02
Guyana,"Guyana Telephone & Telegraph Co. (Cellink Plus)",0.03000,738/02
Guyana,"U-Mobile (Cellular) Inc. (Digicel Guyana)",0.03700,738/01
Haiti,"Digicel Haiti (DIGICEL)",0.03700,"372/02, 372/50, 372/01"
Haiti,"National Telecom SA (NatCom)",0.01300,"372/03, 372/30"
Honduras,"Servicios de Comunicaciones de Honduras S.A. de C.V. (CLARO GSM)",0.02600,"708/00, 708/01"
Honduras,"Telefonica Celular S.A (CELTEL) (CELTEL)",0.02600,708/02
"Hong Kong","CMMobile Global Communications Ltd (China Motion Telecom)",0.04000,454/09
"Hong Kong","CSL Limited (CSL)",0.04000,"454/00, 454/02, 454/18, 454/10"
"Hong Kong","China Mobile Hong Kong Company Limited (PEOPLES)",0.04000,"454/12, 454/28"
"Hong Kong","China Unicom (Unicom International)",0.04000,454/07
"Hong Kong","Hong Kong Telecommunications (HKT) Limited (HKT)",0.04000,"454/16, 454/19, 454/20, 454/29"
"Hong Kong","Hutchison Telecom (HK) Ltd (3)",0.04000,"454/03, 454/04, 454/14"
"Hong Kong","SmarTone Mobile Communications Limited (SmarTone HK)",0.04000,454/06
"Hong Kong","Truphone Limited (Truphone)",0.04000,454/08
Hungary,"Hungary - Other",0.0580,
Hungary,"Magyar Telekom Plc (T-Mobile Hungary)",0.05800,216/30
Hungary,"Telenor Magyarorszag Zrt  (Telenor Pannon)",0.07000,216/01
Hungary,"Vodafone Hungary Ltd (Vodafone)",0.05800,"216/70, 216/71"
Iceland,"09 Mobile (09 Mobile)",0.0270,274/06
Iceland,"Fjarskipti hf (Vodafone Iceland)",0.04000,"274/02, 274/03"
Iceland,"IMC Island ehf (Viking wireless)",0.0270,274/04
Iceland,"Iceland - Other",0.0270,
Iceland,"Nova ehf (NOVA)",0.01300,274/11
Iceland,"Siminn hf (Siminn)",0.01300,"274/01, 274/08, 274/12"
India,"Aircel Cellular Ltd. Chennai (Aircel Cellular Ltd.)",0.0100,404/41
India,"Aircel Digilink India Ltd Haryana (Hutch-Haryana)",0.0100,404/01
India,"Aircel Digilink India Ltd Rajasthan (Hutch-Rajasthan)",0.0100,404/60
India,"Aircel Digilink India Ltd Uttar Pradesh East (Hutch-UP East)",0.0100,404/15
India,"Aircel Gujarat (Aircel - Gujarat)",0.0100,405/802
India,"Aircel Kerala (Aircel - Kerala)",0.0100,405/809
India,"Aircel Limited Andhra Pradesh (Aircel)",0.0100,405/801
India,"Aircel Limited Karnataka (Aircel Karnataka)",0.0100,"405/803, 405/83"
India,"Aircel Limited Maharashtra & Goa (AIRCEL)",0.0100,405/804
India,"Aircel Limited Mumbai (AIRCEL)",0.0100,"405/85, 405/805"
India,"Aircel Limited TamilNadu (AIRCEL)",0.0100,404/42
India,"Aircel Madhya Prad (Aircel - Madhya Pradesh)",0.0100,405/808
India,"Aircel UPWest (Aircel - Uttar Pradesh West)",0.0100,405/811
India,"Aircell Ltd (Delhi Metro Telecom Service Area)",0.0100,405/800
India,"Assam LM (Loop Mobile - Assam)",0.0100,405/855
India,"Assam VD (DSPL - Assam)",0.0100,405/824
India,"BPL Mobile Communications Ltd Kerala (Loop Mobile)",0.0100,405/863
India,"BPL Mobile Communications Ltd Maharashtra (Loop Mobile - Maharashta)",0.0100,405/866
India,"BPL Mobile Communications Ltd Mumbai (BPL  MOBILE)",0.0100,404/21
India,"BPL Mobile Communications Ltd TamilNadu (BPL MOBILE)",0.0100,404/43
India,"Bharat Sanchar Nigam Limited (CellOne Andhra Pradesh)",0.0100,404/73
India,"Bharat Sanchar Nigam Limited Assam (CellOne Assam)",0.0100,404/38
India,"Bharat Sanchar Nigam Limited Bihar & Jharkhand (CellOne Bihar)",0.0100,404/75
India,"Bharat Sanchar Nigam Limited Chennai (CellOne Chennai)",0.0100,404/64
India,"Bharat Sanchar Nigam Limited Gujarat (CellOne Gujarat)",0.0100,404/57
India,"Bharat Sanchar Nigam Limited Haryana (CellOne Haryana)",0.0100,404/34
India,"Bharat Sanchar Nigam Limited Himachal Pradesh (CellOne Bihar)",0.0100,404/51
India,"Bharat Sanchar Nigam Limited Jammu & Kashmir (CellOne Jammu & Kashmir)",0.0100,404/62
India,"Bharat Sanchar Nigam Limited Karnataka (CellOne Karnataka)",0.0100,404/71
India,"Bharat Sanchar Nigam Limited Kerala (CellOne Kerala)",0.0100,404/72
India,"Bharat Sanchar Nigam Limited Kolkata (CellOne Kolkata)",0.0100,404/81
India,"Bharat Sanchar Nigam Limited Madhya Pradesh (CellOne Madhya Pradesh)",0.0100,404/58
India,"Bharat Sanchar Nigam Limited Maharashtra (Bharat Sanchar Nigam Limited)",0.0100,404/66
India,"Bharat Sanchar Nigam Limited North East India (CellOne North East)",0.0100,404/77
India,"Bharat Sanchar Nigam Limited Orissa (CellOne Orissa)",0.0100,404/76
India,"Bharat Sanchar Nigam Limited Punjab (CellOne Bihar)",0.0100,404/53
India,"Bharat Sanchar Nigam Limited Rajasthan (CellOne Rajasthan)",0.0100,404/59
India,"Bharat Sanchar Nigam Limited TamilNadu (CellOne Tamil Nadu)",0.0100,404/80
